Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,52455027.0,32308114.0,Linux,x86_64,CPython,2.7.15+,2019-11-06 16:00:00.733280
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,32033893.0,11485305.0,Linux,x86_64,CPython,3.6.8,2019-11-06 16:05:36.813175
Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,98023935.0,33875546.0,Linux,x86_64,CPython,3.6.8,2019-11-07 04:11:52.966683
Intel(R) Core(TM) i7-4810MQ CPU @ 2.80GHz,52718981.0,9775830.0,Windows,AMD64,CPython,3.6.5,2019-11-07 05:07:03.659610
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,40756937.0,13381739.0,Windows,AMD64,CPython,3.7.2,2019-11-07 07:06:19.684380
Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,58366550.0,20969704.0,Windows,AMD64,CPython,3.7.3,2019-11-07 08:44:15.339053
Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,59614650.0,20698020.0,Windows,AMD64,CPython,3.7.0,2019-11-08 02:46:49.901321
Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz,21818914.0,8362604.0,Linux,x86_64,CPython,3.7.5rc1,2019-11-12 07:47:22.671172
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,73064976.0,27315511.0,Linux,x86_64,CPython,3.6.8,2019-11-26 04:58:46.303211
AMD Ryzen 7 2700 Eight-Core Processor,40884411.0,10936754.0,Windows,AMD64,CPython,3.8.0,2019-11-27 01:54:00.498890
Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,28751081.0,9318674.0,Windows,AMD64,CPython,3.8.0,2019-11-27 01:59:21.438173
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,73401380.0,27489368.0,Linux,x86_64,CPython,3.6.8,2019-12-08 08:28:37.239907
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,72080737.0,25558347.0,Linux,x86_64,CPython,3.6.8,2019-12-09 09:48:00.900801
,14019490.0,3994615.0,Linux,aarch64,CPython,3.8.0,2019-12-15 04:39:12.545695
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,43276179.0,13649920.0,Windows,AMD64,CPython,3.7.2,2019-12-17 04:33:46.688706
amd64,10481473.0,4381870.0,OpenBSD,amd64,CPython,3.7.4,2019-12-19 10:39:52.797847
Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,54938845.0,20691339.0,Linux,x86_64,CPython,3.6.9,2019-12-23 15:22:30.382590
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,77460095.0,28160627.0,Linux,x86_64,CPython,3.6.9,2019-12-30 03:00:17.066476
